pdf_id,stage,status,device,dtype,batch_size,wall_time_sec,compute_time_sec,transfer_time_sec,tokens_in,tokens_out,peak_ram_mb,peak_vram_mb
80382aadc800b9c2,extract,ok,cpu,fp32,1,0.016000000000531145,0.016000000000531145,,,,828.0,0.0
80382aadc800b9c2,clean,ok,cpu,fp32,1,0.0,0.0,,,,828.2,0.0
80382aadc800b9c2,validate,ok,cpu,fp32,1,0.01599999999962165,0.01599999999962165,,,,828.3,0.0
80382aadc800b9c2,keywords,ok,cpu,fp32,1,17.936999999999898,17.936999999999898,,,,1895.9,0.0
80382aadc800b9c2,classify,ok,cpu,fp32,1,10.484000000000378,10.484000000000378,,,,2464.9,0.0
80382aadc800b9c2,context,ok,cpu,fp32,1,0.03099999999994907,0.03099999999994907,,,,2414.9,0.0
80382aadc800b9c2,summarize,ok,cpu,fp32,1,4.907000000000153,4.907000000000153,,262,37,5114.8,0.0
97e6b52742ffb6a8,extract,ok,cpu,fp32,1,0.0,0.0,,,,828.0,0.0
97e6b52742ffb6a8,clean,ok,cpu,fp32,1,0.015000000000327418,0.015000000000327418,,,,828.2,0.0
97e6b52742ffb6a8,validate,ok,cpu,fp32,1,0.0,0.0,,,,828.3,0.0
97e6b52742ffb6a8,keywords,ok,cpu,fp32,1,14.875,14.875,,,,1849.2,0.0
97e6b52742ffb6a8,classify,ok,cpu,fp32,1,10.688000000000102,10.688000000000102,,,,2465.0,0.0
97e6b52742ffb6a8,context,ok,cpu,fp32,1,0.0,0.0,,,,2414.9,0.0
97e6b52742ffb6a8,summarize,ok,cpu,fp32,1,6.780999999999949,6.780999999999949,,316,64,5119.1,0.0
ade314f4bff14170,extract,ok,cpu,fp32,1,0.01599999999962165,0.01599999999962165,,,,828.1,0.0
ade314f4bff14170,clean,ok,cpu,fp32,1,0.0,0.0,,,,828.2,0.0
ade314f4bff14170,validate,ok,cpu,fp32,1,0.015000000000327418,0.015000000000327418,,,,828.3,0.0
bb198a6952eb8f22,extract,ok,cpu,fp32,1,0.015000000000327418,0.015000000000327418,,,,828.0,0.0
bb198a6952eb8f22,clean,ok,cpu,fp32,1,0.01599999999962165,0.01599999999962165,,,,828.2,0.0
bb198a6952eb8f22,validate,ok,cpu,fp32,1,0.0,0.0,,,,828.3,0.0
