pdf_id,stage,status,device,dtype,batch_size,wall_time_sec,compute_time_sec,transfer_time_sec,tokens_in,tokens_out,peak_ram_mb,peak_vram_mb
80382aadc800b9c2,extract,ok,cuda,fp16,1,0.016000000000531145,0.016000000000531145,,,,917.4,0.0
80382aadc800b9c2,clean,ok,cuda,fp16,1,0.0,0.0,,,,917.6,0.0
80382aadc800b9c2,validate,ok,cuda,fp16,1,0.0,0.0,,,,917.7,0.0
80382aadc800b9c2,keywords,ok,cuda,fp16,1,12.234000000000378,12.234000000000378,,,,1649.3,623.2
80382aadc800b9c2,classify,ok,cuda,fp16,1,7.186999999999898,7.186999999999898,,,,2205.5,779.3
80382aadc800b9c2,context,ok,cuda,fp16,1,0.01599999999962165,0.01599999999962165,,,,2210.1,8.1
80382aadc800b9c2,summarize,ok,cuda,fp16,1,4.858999999999469,4.858999999999469,,262,37,4912.7,8.1
97e6b52742ffb6a8,extract,ok,cuda,fp16,1,0.01599999999962165,0.01599999999962165,,,,917.4,0.0
97e6b52742ffb6a8,clean,ok,cuda,fp16,1,0.01599999999962165,0.01599999999962165,,,,917.6,0.0
97e6b52742ffb6a8,validate,ok,cuda,fp16,1,0.01599999999962165,0.01599999999962165,,,,917.7,0.0
97e6b52742ffb6a8,keywords,ok,cuda,fp16,1,10.70299999999952,10.70299999999952,,,,1652.8,578.3
97e6b52742ffb6a8,classify,ok,cuda,fp16,1,7.203000000000429,7.203000000000429,,,,2205.5,779.3
97e6b52742ffb6a8,context,ok,cuda,fp16,1,0.015000000000327418,0.015000000000327418,,,,2210.1,8.1
97e6b52742ffb6a8,summarize,ok,cuda,fp16,1,6.985000000000582,6.985000000000582,,324,64,4917.1,8.1
ade314f4bff14170,extract,ok,cuda,fp16,1,0.0,0.0,,,,917.5,0.0
ade314f4bff14170,clean,ok,cuda,fp16,1,0.0,0.0,,,,917.7,0.0
ade314f4bff14170,validate,ok,cuda,fp16,1,0.0,0.0,,,,917.7,0.0
bb198a6952eb8f22,extract,ok,cuda,fp16,1,0.015000000000327418,0.015000000000327418,,,,917.5,0.0
bb198a6952eb8f22,clean,ok,cuda,fp16,1,0.015000000000327418,0.015000000000327418,,,,917.7,0.0
bb198a6952eb8f22,validate,ok,cuda,fp16,1,0.015000000000327418,0.015000000000327418,,,,917.7,0.0
bb198a6952eb8f22,keywords,ok,cuda,fp16,1,13.109000000000378,13.109000000000378,,,,1654.0,648.8
bb198a6952eb8f22,classify,ok,cuda,fp16,1,7.20299999999952,7.20299999999952,,,,2205.5,779.3
bb198a6952eb8f22,context,ok,cuda,fp16,1,0.01599999999962165,0.01599999999962165,,,,2210.1,8.1
bb198a6952eb8f22,summarize,ok,cuda,fp16,1,5.75,5.75,,272,52,4921.3,8.1
df597cb84b8dfaa2,extract,ok,cuda,fp16,1,0.01599999999962165,0.01599999999962165,,,,917.5,0.0
df597cb84b8dfaa2,clean,ok,cuda,fp16,1,0.01599999999962165,0.01599999999962165,,,,917.7,0.0
df597cb84b8dfaa2,validate,ok,cuda,fp16,1,0.0,0.0,,,,917.7,0.0
e84e34383debe20b,extract,ok,cuda,fp16,1,0.0,0.0,,,,917.5,0.0
e84e34383debe20b,clean,ok,cuda,fp16,1,0.0,0.0,,,,917.7,0.0
e84e34383debe20b,validate,ok,cuda,fp16,1,0.0,0.0,,,,917.7,0.0
e84e34383debe20b,keywords,ok,cuda,fp16,1,0.9690000000000509,0.9690000000000509,,,,1655.2,328.0
e84e34383debe20b,classify,ok,cuda,fp16,1,1.719000000000051,1.719000000000051,,,,2214.7,767.4
e84e34383debe20b,context,ok,cuda,fp16,1,0.015000000000327418,0.015000000000327418,,,,2210.1,8.1
e84e34383debe20b,summarize,ok,cuda,fp16,1,3.20299999999952,3.20299999999952,,122,39,4924.9,8.1
